file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp	snr	unintelligible	overlap
RothenbergEx1	4.9	6.5	6.7	6.4	8.1	3.9	7.0	7.0	4	22.4	16	1.573
Scalapino1Ex1	0.7	1.2	0.5	1.0	1.4	0.8	0.5	0.9	1	7.21	16	0
Scalapino2Ex1	6.9	16.0	8.1	12.2	16.0	7.0	8.3	8.3	4	11.19	53	11.172
SherlockEx1	1.4	0.9	1.8	0.8	2.4	2.1	1.4	2.1	1	22.44	9	0
Silliman1Ex1	1.6	2.8	1.6	3.6	5.3	0.9	2.8	3.6	3	16.0	5	4.118
Silliman2Ex1	0.5	0.8	0.8	0.7	1.6	0.5	6.0	1.1	1	10.34	19	0
Silliman3Ex1	2.1	2.7	1.7	2.6	3.4	1.7	2.9	3.1	1	14.18	14	0
SmithEx1	0.1	1.2	1.2	0.6	4.8	1.2	1.8	2.3	1	14.96	22	0
SpahrEx1	0.5	0.9	0.6	0.7	3.5	0.4	1.7	1.9	1	15.53	2	0
SzeEx1	0.7	0.8	1.7	0.6	2.1	1.0	1.0	1.5	1	16.57	15	0
TempletonEx1	12.3	9.0	6.7	9.1	7.4	5.1	32.3	7.1	2	10.97	73	23.954
TorresEx1	8.0	10.0	12.0	11.6	19.3	5.9	18.0	17.9	2	15.3	107	11.207
TowleEx1	1.1	2.2	2.5	1.8	1.4	1.6	1.1	2.3	1	6.3	12	0
WisherEx1	0.3	0.4	0.8	0.7	1.7	0.5	0.2	0.6	1	22.98	6	0
YauEx1	0.5	1.6	0.7	1.6	1.7	0.7	1.1	1.1	1	18.16	7	0
